epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41428,1.44729,1.76243,1.44913,0.69328,0.61247,0.62636,0.32919,1.53745,1.86831,1.54034,0.00065625,0.00065625,0.00065625
2,6.48753,1.4303,1.45377,1.42201,0.73456,0.48509,0.5649,0.28844,1.82395,1.75914,1.6769,0.00127053,0.00127053,0.00127053
3,9.51568,1.47786,1.3937,1.42804,0.72424,0.56098,0.58704,0.28223,1.74698,1.83371,1.88533,0.00183201,0.00183201,0.00183201
4,12.4728,1.44204,1.35764,1.42617,0.75434,0.62331,0.71434,0.35795,1.62566,1.663,1.5663,0.0017624,0.0017624,0.0017624
5,15.384,1.41521,1.22891,1.38433,0.73096,0.63322,0.65799,0.2801,1.82166,1.51939,1.74348,0.0016832,0.0016832,0.0016832
6,18.2895,1.36682,1.17105,1.35947,0.72175,0.72629,0.71685,0.36273,1.58628,1.39323,1.53949,0.001604,0.001604,0.001604
7,21.2691,1.35149,1.09413,1.33755,0.80511,0.7053,0.79661,0.43585,1.48511,1.17511,1.38249,0.0015248,0.0015248,0.0015248
8,24.2569,1.32357,1.07373,1.33143,0.7719,0.72358,0.7738,0.37824,1.61698,1.19215,1.48831,0.0014456,0.0014456,0.0014456
9,27.1995,1.27742,0.9988,1.30095,0.87348,0.75881,0.83445,0.45802,1.55158,1.07194,1.47515,0.0013664,0.0013664,0.0013664
10,30.1705,1.26361,0.97041,1.28846,0.84443,0.67751,0.78345,0.46137,1.53131,1.23241,1.46012,0.0012872,0.0012872,0.0012872
11,33.1503,1.24152,0.93435,1.2712,0.8872,0.81301,0.89069,0.50811,1.48047,0.90995,1.3926,0.001208,0.001208,0.001208
12,36.0795,1.22292,0.91775,1.26052,0.87408,0.78862,0.85154,0.46808,1.49621,1.02147,1.39251,0.0011288,0.0011288,0.0011288
13,39.1067,1.20912,0.89173,1.24759,0.89,0.80488,0.86857,0.47844,1.52658,0.97461,1.44881,0.0010496,0.0010496,0.0010496
14,42.0929,1.20291,0.87761,1.24918,0.81407,0.76423,0.80904,0.4672,1.51243,1.08677,1.47092,0.0009704,0.0009704,0.0009704
15,45.1568,1.18721,0.85138,1.24553,0.90814,0.79675,0.89131,0.5247,1.40702,0.82742,1.31158,0.0008912,0.0008912,0.0008912
16,48.5378,1.05493,0.74234,1.1889,0.94784,0.76423,0.87086,0.4771,1.50239,0.95557,1.43673,0.000812,0.000812,0.000812
17,51.5182,1.0425,0.66295,1.16657,0.8982,0.8103,0.88004,0.51167,1.44158,0.87181,1.37901,0.0007328,0.0007328,0.0007328
18,54.4763,1.0336,0.64037,1.17443,0.93179,0.81452,0.90849,0.49884,1.50176,0.79626,1.3913,0.0006536,0.0006536,0.0006536
19,57.386,1.02515,0.6227,1.155,0.90325,0.83494,0.88156,0.53902,1.38965,0.83885,1.33009,0.0005744,0.0005744,0.0005744
20,60.3073,0.98194,0.57918,1.13775,0.9106,0.85575,0.90802,0.57352,1.32872,0.72911,1.2794,0.0004952,0.0004952,0.0004952
21,63.2848,0.94347,0.54903,1.11333,0.91427,0.85095,0.90402,0.54935,1.41479,0.75775,1.3426,0.000416,0.000416,0.000416
22,66.3135,0.92408,0.52608,1.1086,0.93108,0.86721,0.92694,0.56814,1.34474,0.67201,1.29748,0.0003368,0.0003368,0.0003368
23,69.2494,0.89499,0.49741,1.08827,0.94573,0.85011,0.91093,0.55161,1.3869,0.71376,1.32455,0.0002576,0.0002576,0.0002576
24,72.1644,0.8788,0.48602,1.08679,0.93773,0.84553,0.91408,0.57405,1.31966,0.68193,1.2805,0.0001784,0.0001784,0.0001784
25,75.0834,0.84724,0.47067,1.06781,0.93881,0.84553,0.91675,0.55927,1.39286,0.70403,1.33708,9.92e-05,9.92e-05,9.92e-05
